rtt_project_id	refset_sctid	project_name	project_desc
1	1119410008	SNOMED International Project	This project is the production area for official SNOMED International reference sets
1	1157358007	SNOMED International Project	This project is the production area for official SNOMED International reference sets
1	450970008	SNOMED International Project	This project is the production area for official SNOMED International reference sets
1	5491000003105	SNOMED International Project	This project is the production area for official SNOMED International reference sets
1	5581000003109	SNOMED International Project	This project is the production area for official SNOMED International reference sets
1	5601000003101	SNOMED International Project	This project is the production area for official SNOMED International reference sets
1	5871000003109	SNOMED International Project	This project is the production area for official SNOMED International reference sets
1	721144007	SNOMED International Project	This project is the production area for official SNOMED International reference sets
1	721145008	SNOMED International Project	This project is the production area for official SNOMED International reference sets
1	733990004	SNOMED International Project	This project is the production area for official SNOMED International reference sets
1	733991000	SNOMED International Project	This project is the production area for official SNOMED International reference sets
1	787778008	SNOMED International Project	This project is the production area for official SNOMED International reference sets
1	816080008	SNOMED International Project	This project is the production area for official SNOMED International reference sets
1	894081003	SNOMED International Project	This project is the production area for official SNOMED International reference sets
1001	23645832341	Inera National Refset Project (do not use)	Inera National Refset Project for the Swedish NRC
1001	500091000057101	Inera National Refset Project (do not use)	Inera National Refset Project for the Swedish NRC
1001	712768323948	Inera National Refset Project (do not use)	Inera National Refset Project for the Swedish NRC
1151	771000202103	New Norwegian Project	New Norwegian Project
1203	TMP-hmj5ah	Demo for St Pierre	Demo for St Pierre
1203	TMP-neo7m9	Demo for St Pierre	Demo for St Pierre
1203	TMP-s7h9oo	Demo for St Pierre	Demo for St Pierre
1251	1041000003106	Project for MKatz	Project for MKatz
155	4226871000052111	Sweden NRC Project (do not use)	Swedish NRC Project
155	4226911000052113	Sweden NRC Project (do not use)	Swedish NRC Project
155	46051000052106	Sweden NRC Project (do not use)	Swedish NRC Project
155	53351000052100	Sweden NRC Project (do not use)	Swedish NRC Project
155	53361000052102	Sweden NRC Project (do not use)	Swedish NRC Project
155	53371000052106	Sweden NRC Project (do not use)	Swedish NRC Project
155	53381000052108	Sweden NRC Project (do not use)	Swedish NRC Project
155	53611000052108	Sweden NRC Project (do not use)	Swedish NRC Project
155	56421000052109	Sweden NRC Project (do not use)	Swedish NRC Project
155	56431000052106	Sweden NRC Project (do not use)	Swedish NRC Project
155	58181000052100	Sweden NRC Project (do not use)	Swedish NRC Project
155	59761000052100	Sweden NRC Project (do not use)	Swedish NRC Project
155	60041000052102	Sweden NRC Project (do not use)	Swedish NRC Project
155	60381000052109	Sweden NRC Project (do not use)	Swedish NRC Project
155	60391000052106	Sweden NRC Project (do not use)	Swedish NRC Project
155	60401000052109	Sweden NRC Project (do not use)	Swedish NRC Project
155	60411000052106	Sweden NRC Project (do not use)	Swedish NRC Project
155	60421000052103	Sweden NRC Project (do not use)	Swedish NRC Project
155	62151000052104	Sweden NRC Project (do not use)	Swedish NRC Project
